tips	new_tips
GCA.002722885.1.Bacteria.Proteobacteria_PBNE01000014.1_22	GCA.002722885.1.Bacteria.Proteobacteria_1
GCA.002348365.1.Bacteria.Proteobacteria_DEBC01000037.1_2	GCA.002348365.1.Bacteria.Proteobacteria_1
GCA.002717185.1.Bacteria.Proteobacteria_PBDC01000051.1_52	GCA.002717185.1.Bacteria.Proteobacteria_1
GCA.002238965.1.Bacteria.UBA8248_MPNJ01000022.1_33	GCA.002238965.1.Bacteria.UBA8248_1
GCA.003161515.1.Bacteria.Desulfobacterota.B_PMOH01000477.1_22	GCA.003161515.1.Bacteria.Desulfobacterota.B_1
GCF.000264455.2.Bacteria.Proteobacteria_NC_017956.1_1439	GCF.000264455.2.Bacteria.Proteobacteria_1
GCF.002148795.1.Bacteria.Proteobacteria_NZ_MPOB01000006.1_206	GCF.002148795.1.Bacteria.Proteobacteria_1
GCA.002238885.1.Bacteria.Proteobacteria_MPNF01000003.1_22	GCA.002238885.1.Bacteria.Proteobacteria_1
GCA.002696345.1.Bacteria.Myxococcota_NZRT01000066.1_6	GCA.002696345.1.Bacteria.Myxococcota_1
GCF.003612015.1.Bacteria.Proteobacteria_NZ_RARB01000003.1_145	GCF.003612015.1.Bacteria.Proteobacteria_1
GCA.006969625.1.Bacteria.Proteobacteria_CP030885.1_1650	GCA.006969625.1.Bacteria.Proteobacteria_1
GCA.002348425.1.Bacteria.Proteobacteria_DEBE01000254.1_2	GCA.002348425.1.Bacteria.Proteobacteria_1
GCF.900167455.1.Bacteria.Proteobacteria_NZ_FUWJ01000001.1_780	GCF.900167455.1.Bacteria.Proteobacteria_1
GCF.900102465.1.Bacteria.Proteobacteria_NZ_FNBW01000018.1_44	GCF.900102465.1.Bacteria.Proteobacteria_1
GCF.000374645.1.Bacteria.Proteobacteria_NZ_KB894805.1_129	GCF.000374645.1.Bacteria.Proteobacteria_1
GCA.002721365.1.Bacteria.Proteobacteria_PBKC01000029.1_8	GCA.002721365.1.Bacteria.Proteobacteria_1
GCF.003443735.1.Bacteria.Actinobacteriota_NZ_CP031969.1_8072	GCF.003443735.1.Bacteria.Actinobacteriota_1
GCF.001942305.1.Bacteria.Actinobacteriota_NZ_MKKE01000002.1_63	GCF.001942305.1.Bacteria.Actinobacteriota_1
GCA.001304105.1.Bacteria.Desulfobacterota_LJUR01000116.1_2	GCA.001304105.1.Bacteria.Desulfobacterota_1
GCA.002348365.1.Bacteria.Proteobacteria_DEBC01000054.1_8	GCA.002348365.1.Bacteria.Proteobacteria_2
GCA.002731375.1.Bacteria.Proteobacteria_PCBT01000012.1_16	GCA.002731375.1.Bacteria.Proteobacteria_1
GCA.002238415.1.Bacteria.Desulfobacterota.B_MPMI01000023.1_82	GCA.002238415.1.Bacteria.Desulfobacterota.B_1
GCA.002292285.1.Bacteria.Proteobacteria_DBBP01000024.1_8	GCA.002292285.1.Bacteria.Proteobacteria_1
GCA.002722885.1.Bacteria.Proteobacteria_PBNE01000013.1_210	GCA.002722885.1.Bacteria.Proteobacteria_2
GCA.002238415.1.Bacteria.Desulfobacterota.B_MPMI01000001.1_254	GCA.002238415.1.Bacteria.Desulfobacterota.B_2
GCF.003258945.1.Bacteria.Proteobacteria_NZ_QLIX01000011.1_59	GCF.003258945.1.Bacteria.Proteobacteria_1
