tips	new_tips
GCA.001798715.1.Bacteria.UBA10199_MGSF01000002.1_6	GCA.001798715.1.Bacteria.UBA10199_1
GCA.002862435.1.Bacteria.Proteobacteria_PKDC01000017.1_31	GCA.002862435.1.Bacteria.Proteobacteria_1
GCA.002432655.1.Bacteria.Proteobacteria_DJFZ01000006.1_49	GCA.002432655.1.Bacteria.Proteobacteria_1
GCA.002746645.1.Bacteria.Proteobacteria_PDPU01000025.1_67	GCA.002746645.1.Bacteria.Proteobacteria_1
GCA.002352565.1.Bacteria.Proteobacteria_DEIQ01000091.1_27	GCA.002352565.1.Bacteria.Proteobacteria_1
GCA.002746645.1.Bacteria.Proteobacteria_PDPU01000025.1_51	GCA.002746645.1.Bacteria.Proteobacteria_2
GCA.001735895.1.Bacteria.Proteobacteria_DS021198.1_56	GCA.001735895.1.Bacteria.Proteobacteria_1
GCA.002454015.1.Bacteria.Proteobacteria_DKIB01000095.1_5	GCA.002454015.1.Bacteria.Proteobacteria_1
GCA.002840095.1.Bacteria.Proteobacteria_PGZL01000007.1_109	GCA.002840095.1.Bacteria.Proteobacteria_1
GCA.002085445.1.Bacteria.Proteobacteria_NBMI01000031.1_57	GCA.002085445.1.Bacteria.Proteobacteria_1
GCF.001720165.1.Bacteria.Proteobacteria_NZ_MCRI01000009.1_2	GCF.001720165.1.Bacteria.Proteobacteria_1
GCA.002747435.1.Bacteria.Proteobacteria_PDPH01000049.1_12	GCA.002747435.1.Bacteria.Proteobacteria_1
GCA.002631715.1.Bacteria.Proteobacteria_MRSX01000008.1_5	GCA.002631715.1.Bacteria.Proteobacteria_1
GCA.002386945.1.Bacteria.Proteobacteria_DGKH01000069.1_7	GCA.002386945.1.Bacteria.Proteobacteria_1
GCA.002292285.1.Bacteria.Proteobacteria_DBBP01000017.1_80	GCA.002292285.1.Bacteria.Proteobacteria_1
GCA.002389045.1.Bacteria.Proteobacteria_DGNS01000005.1_352	GCA.002389045.1.Bacteria.Proteobacteria_1
GCF.000021985.1.Bacteria.Proteobacteria_NC_011901.1_2125	GCF.000021985.1.Bacteria.Proteobacteria_1
GCA.002747435.1.Bacteria.Proteobacteria_PDPH01000015.1_32	GCA.002747435.1.Bacteria.Proteobacteria_2
GCF.002020875.1.Bacteria.Proteobacteria_WP_078483344.1	GCF.002020875.1.Bacteria.Proteobacteria_1
GCA.002170535.1.Bacteria.Proteobacteria_NHDW01000007.1_73	GCA.002170535.1.Bacteria.Proteobacteria_1
GCA.002728355.1.Bacteria.Proteobacteria_PBXG01000016.1_8	GCA.002728355.1.Bacteria.Proteobacteria_1
GCA.002420425.1.Bacteria.Proteobacteria_DIIC01000017.1_93	GCA.002420425.1.Bacteria.Proteobacteria_1
GCF.000024725.1.Bacteria.Proteobacteria_NC_013960.1_2452	GCF.000024725.1.Bacteria.Proteobacteria_1
GCA.002868855.1.Bacteria.Proteobacteria_PKUM01000041.1_34	GCA.002868855.1.Bacteria.Proteobacteria_1
GCF.001614315.2.Bacteria.Proteobacteria_NZ_LVEG02000001.1_351	GCF.001614315.2.Bacteria.Proteobacteria_1
GCF.900112605.1.Bacteria.Proteobacteria_NZ_FOMJ01000001.1_598	GCF.900112605.1.Bacteria.Proteobacteria_1
GCF.002109495.1.Bacteria.Proteobacteria_NZ_LVJN01000020.1_920	GCF.002109495.1.Bacteria.Proteobacteria_1
