tips	new_tips
GCA.002347095.1.Bacteria.Desulfobacterota_DDWZ01000016.1_82	GCA.002347095.1.Bacteria.Desulfobacterota_1
GCA.000739515.1.Bacteria.Moduliflexota_DF820458.1_514	GCA.000739515.1.Bacteria.Moduliflexota_1
GCA.000961655.1.Bacteria.Desulfobacterota_LADR01000085.1_8	GCA.000961655.1.Bacteria.Desulfobacterota_1
GCF.000526155.1.Bacteria.Desulfobacterota_NZ_JAFN01000001.1_2213	GCF.000526155.1.Bacteria.Desulfobacterota_1
GCF.000195295.1.Bacteria.Desulfobacterota_NC_015388.1_355	GCF.000195295.1.Bacteria.Desulfobacterota_1
GCA.007244385.1.Bacteria.Desulfobacterota_SCVX01000094.1_240	GCA.007244385.1.Bacteria.Desulfobacterota_1
GCA.003229375.1.Bacteria.Nitrospinota_QIDP01000121.1_18	GCA.003229375.1.Bacteria.Nitrospinota_1
GCA.003232385.1.Bacteria.SZUA.79_QIJE01000001.1_87	GCA.003232385.1.Bacteria.SZUA.79_1
GCA.003235715.1.Bacteria.Nitrospirota_QJVM01000189.1_15	GCA.003235715.1.Bacteria.Nitrospirota_1
GCF.000019165.1.Bacteria.Firmicutes.B_NC_010337.2_990	GCF.000019165.1.Bacteria.Firmicutes.B_1
GCA.002411145.1.Bacteria.Firmicutes.C_DHRA01000077.1_21	GCA.002411145.1.Bacteria.Firmicutes.C_1
GCF.900100785.1.Bacteria.Firmicutes.B_NZ_FNCP01000001.1_338	GCF.900100785.1.Bacteria.Firmicutes.B_1
GCF.001611275.1.Bacteria.Desulfobacterota_NZ_CP015080.1_103	GCF.001611275.1.Bacteria.Desulfobacterota_1
GCA.001768075.1.Bacteria.Myxococcota_MEMX01000094.1_1	GCA.001768075.1.Bacteria.Myxococcota_1
GCA.002402635.1.Bacteria.Deferribacterota_DHGE01000137.1_3	GCA.002402635.1.Bacteria.Deferribacterota_1
GCF.000177635.2.Bacteria.Chrysiogenota_NC_014836.1_695	GCF.000177635.2.Bacteria.Chrysiogenota_1
GCF.000316115.1.Bacteria.Cyanobacteria_NZ_JH993797.1_1068	GCF.000316115.1.Bacteria.Cyanobacteria_1
