tips	new_tips
GCF.004348535.1.Bacteria.Actinobacteriota_NZ_SMJX01000254.1_3	GCF.004348535.1.Bacteria.Actinobacteriota_1
GCA.003220615.1.Bacteria.Methylomirabilota_QHTB01000143.1_26	GCA.003220615.1.Bacteria.Methylomirabilota_1
GCA.003220615.1.Bacteria.Methylomirabilota_QHTB01000150.1_25	GCA.003220615.1.Bacteria.Methylomirabilota_2
GCA.002898935.1.Bacteria.CSP1.3_BEII01000015.1_11	GCA.002898935.1.Bacteria.CSP1.3_1
GCA.003220615.1.Bacteria.Methylomirabilota_QHTB01000049.1_21	GCA.003220615.1.Bacteria.Methylomirabilota_3
GCA.001898225.1.Bacteria.Chloroflexota_MKTJ01000038.1_93	GCA.001898225.1.Bacteria.Chloroflexota_1
GCA.002710215.1.Bacteria.Chloroflexota_PAJQ01000009.1_11	GCA.002710215.1.Bacteria.Chloroflexota_1
GCA.002710215.1.Bacteria.Chloroflexota_PAJQ01000005.1_20	GCA.002710215.1.Bacteria.Chloroflexota_2
GCA.002710215.1.Bacteria.Chloroflexota_PAJQ01000028.1_6	GCA.002710215.1.Bacteria.Chloroflexota_3
GCF.900079095.1.Bacteria.Tectomicrobia_NZ_FKIP01000301.1_8	GCF.900079095.1.Bacteria.Tectomicrobia_1
GCA.003228115.1.Bacteria.Chloroflexota_QEVV01000002.1_144	GCA.003228115.1.Bacteria.Chloroflexota_1
GCF.900079095.1.Bacteria.Tectomicrobia_NZ_FKIP01000172.1_5	GCF.900079095.1.Bacteria.Tectomicrobia_2
GCA.003228115.1.Bacteria.Chloroflexota_QEVV01000011.1_24	GCA.003228115.1.Bacteria.Chloroflexota_2
GCA.002686135.1.Bacteria.Proteobacteria_NZAO01000054.1_31	GCA.002686135.1.Bacteria.Proteobacteria_1
GCA.002722565.1.Bacteria.Actinobacteriota_PBMG01000007.1_40	GCA.002722565.1.Bacteria.Actinobacteriota_1
GCA.002352645.1.Bacteria.Actinobacteriota_DEIU01000072.1_25	GCA.002352645.1.Bacteria.Actinobacteriota_1
GCA.003140175.1.Bacteria.Actinobacteriota_PLJD01000012.1_19	GCA.003140175.1.Bacteria.Actinobacteriota_1
GCA.002722565.1.Bacteria.Actinobacteriota_PBMG01000003.1_34	GCA.002722565.1.Bacteria.Actinobacteriota_2
GCA.003151665.1.Bacteria.Dormibacterota_PLYD01000163.1_12	GCA.003151665.1.Bacteria.Dormibacterota_1
GCA.002238705.1.Bacteria.Acidobacteriota_MPMW01000070.1_6	GCA.002238705.1.Bacteria.Acidobacteriota_1
GCA.002440805.1.Bacteria.Chloroflexota_DJVD01000193.1_2	GCA.002440805.1.Bacteria.Chloroflexota_1
GCA.003220615.1.Bacteria.Methylomirabilota_QHTB01000155.1_103	GCA.003220615.1.Bacteria.Methylomirabilota_4
GCF.000025005.1.Bacteria.Chloroflexota_NC_013525.1_1143	GCF.000025005.1.Bacteria.Chloroflexota_1
GCA.001898225.1.Bacteria.Chloroflexota_MKTJ01000029.1_63	GCA.001898225.1.Bacteria.Chloroflexota_2
GCF.900167455.1.Bacteria.Proteobacteria_NZ_FUWJ01000022.1_7	GCF.900167455.1.Bacteria.Proteobacteria_1
GCF.000266945.1.Bacteria.Desulfobacterota_NC_018025.1_5362	GCF.000266945.1.Bacteria.Desulfobacterota_1
GCF.000969705.1.Bacteria.Actinobacteriota_NZ_KQ033901.1_734	GCF.000969705.1.Bacteria.Actinobacteriota_1
GCF.002148795.1.Bacteria.Proteobacteria_NZ_MPOB01000003.1_395	GCF.002148795.1.Bacteria.Proteobacteria_1
GCA.006969625.1.Bacteria.Proteobacteria_CP030885.1_1125	GCA.006969625.1.Bacteria.Proteobacteria_1
GCA.002717185.1.Bacteria.Proteobacteria_PBDC01000028.1_18	GCA.002717185.1.Bacteria.Proteobacteria_1
GCA.002731375.1.Bacteria.Proteobacteria_PCBT01000032.1_20	GCA.002731375.1.Bacteria.Proteobacteria_1
GCA.002717185.1.Bacteria.Proteobacteria_PBDC01000076.1_17	GCA.002717185.1.Bacteria.Proteobacteria_2
GCF.001942305.1.Bacteria.Actinobacteriota_NZ_MKKE01000033.1_252	GCF.001942305.1.Bacteria.Actinobacteriota_1
GCF.000969705.1.Bacteria.Actinobacteriota_NZ_KQ033901.1_1232	GCF.000969705.1.Bacteria.Actinobacteriota_2
GCA.002238415.1.Bacteria.Desulfobacterota.B_MPMI01000002.1_101	GCA.002238415.1.Bacteria.Desulfobacterota.B_1
GCA.002238415.1.Bacteria.Desulfobacterota.B_MPMI01000027.1_27	GCA.002238415.1.Bacteria.Desulfobacterota.B_2
GCA.002238415.1.Bacteria.Desulfobacterota.B_MPMI01000002.1_100	GCA.002238415.1.Bacteria.Desulfobacterota.B_3
GCA.002238415.1.Bacteria.Desulfobacterota.B_MPMI01000030.1_54	GCA.002238415.1.Bacteria.Desulfobacterota.B_4
GCF.000092905.1.Bacteria.Firmicutes_NC_014098.1_2334	GCF.000092905.1.Bacteria.Firmicutes_1
GCF.001399675.1.Bacteria.Firmicutes_NZ_LJCO01000069.1_26	GCF.001399675.1.Bacteria.Firmicutes_1
GCA.003228115.1.Bacteria.Chloroflexota_QEVV01000008.1_100	GCA.003228115.1.Bacteria.Chloroflexota_3
GCA.003140175.1.Bacteria.Actinobacteriota_PLJD01000052.1_76	GCA.003140175.1.Bacteria.Actinobacteriota_2
GCA.003140175.1.Bacteria.Actinobacteriota_PLJD01000043.1_31	GCA.003140175.1.Bacteria.Actinobacteriota_3
GCF.900111015.1.Bacteria.Proteobacteria_NZ_FOFS01000001.1_239	GCF.900111015.1.Bacteria.Proteobacteria_1
GCA.002717185.1.Bacteria.Proteobacteria_PBDC01000097.1_33	GCA.002717185.1.Bacteria.Proteobacteria_3
GCA.002731375.1.Bacteria.Proteobacteria_PCBT01000087.1_7	GCA.002731375.1.Bacteria.Proteobacteria_2
