tips	new_tips
Fischerella.muscicola.CCMEE5323_WP_016864960.1	Fischerella.muscicola.CCMEE5323_1
GCF.900142435.1.Bacteria.Aquificota_NZ_LT670846.1_4	GCF.900142435.1.Bacteria.Aquificota_1
GCF.001547735.1.Bacteria.Thermosulfidibacterota_NZ_AP013035.1_85	GCF.001547735.1.Bacteria.Thermosulfidibacterota_1
GCF.000021565.1.Bacteria.Aquificota_NC_012440.1_1535	GCF.000021565.1.Bacteria.Aquificota_1
GCA.001768075.1.Bacteria.Myxococcota_MEMX01000029.1_2	GCA.001768075.1.Bacteria.Myxococcota_1
GCA.002338605.1.Bacteria.Proteobacteria_DDIP01000421.1_6	GCA.002338605.1.Bacteria.Proteobacteria_1
GCA.003137095.1.Bacteria.Proteobacteria_PLET01000129.1_11	GCA.003137095.1.Bacteria.Proteobacteria_1
GCF.002940605.1.Bacteria.Proteobacteria_WP_128420298.1	GCF.002940605.1.Bacteria.Proteobacteria_1
GCA.002868855.1.Bacteria.Proteobacteria_PKUM01000094.1_6	GCA.002868855.1.Bacteria.Proteobacteria_1
GCA.002688175.1.Bacteria.Proteobacteria_NZCC01000010.1_25	GCA.002688175.1.Bacteria.Proteobacteria_1
GCA.002783405.1.Bacteria.Cyanobacteria_PFGG01000050.1_79	GCA.002783405.1.Bacteria.Cyanobacteria_1
GCA.002746535.1.Bacteria.Planctomycetota_NVWA01000005.1_127	GCA.002746535.1.Bacteria.Planctomycetota_1
GCF.900177345.1.Bacteria.Proteobacteria_NZ_FWZT01000016.1_97	GCF.900177345.1.Bacteria.Proteobacteria_1
GCA.000315625.1.Eukaryota.Cryptophyceae_EKX32694.1	GCA.000315625.1.Eukaryota.Cryptophyceae_1
GCF.001870225.1.Bacteria.Cyanobacteria_NZ_CP017675.1_1802	GCF.001870225.1.Bacteria.Cyanobacteria_1
GCF.000013205.1.Bacteria.Cyanobacteria_NC_007775.1_165	GCF.000013205.1.Bacteria.Cyanobacteria_1
GCA.002746185.1.Bacteria.Hydrogenedentota_NVWG01000145.1_3	GCA.002746185.1.Bacteria.Hydrogenedentota_1
GCA.003155415.1.Bacteria.Proteobacteria_PMCP01000046.1_8	GCA.003155415.1.Bacteria.Proteobacteria_1
GCA.003477185.1.Bacteria.Verrucomicrobiota_DMTJ01000206.1_3	GCA.003477185.1.Bacteria.Verrucomicrobiota_1
GCA.002715375.1.Bacteria.Bdellovibrionota_PAZA01000077.1_19	GCA.002715375.1.Bacteria.Bdellovibrionota_1
GCF.001280305.1.Bacteria.Bacteroidota_NZ_CP012623.1_2996	GCF.001280305.1.Bacteria.Bacteroidota_1
GCA.002763895.1.Bacteria.Bacteroidota_NSLH01000018.1_10	GCA.002763895.1.Bacteria.Bacteroidota_1
GCA.002429065.1.Bacteria.Verrucomicrobiota_DIYN01000030.1_24	GCA.002429065.1.Bacteria.Verrucomicrobiota_1
GCA.002323895.1.Bacteria.Verrucomicrobiota_DCQM01000152.1_8	GCA.002323895.1.Bacteria.Verrucomicrobiota_1
GCF.000758165.1.Bacteria.Spirochaetota_NZ_JNUP01000071.1_137	GCF.000758165.1.Bacteria.Spirochaetota_1
GCA.003451585.1.Bacteria.Omnitrophota_DMEU01000004.1_157	GCA.003451585.1.Bacteria.Omnitrophota_1
GCA.002701885.1.Bacteria.Proteobacteria_NZXH01000034.1_4	GCA.002701885.1.Bacteria.Proteobacteria_1
GCA.002428325.1.Bacteria.UBP4_DIVR01000067.1_8	GCA.002428325.1.Bacteria.UBP4_1
GCA.002841695.1.Bacteria.Elusimicrobiota_PHAN01000007.1_46	GCA.002841695.1.Bacteria.Elusimicrobiota_1
GCA.002418835.1.Bacteria.Spirochaetota_DIEX01000018.1_274	GCA.002418835.1.Bacteria.Spirochaetota_1
GCA.002483445.1.Bacteria.Acidobacteriota_DLHY01000049.1_43	GCA.002483445.1.Bacteria.Acidobacteriota_1
GCA.003223975.1.Bacteria.Acidobacteriota_QHXS01000057.1_20	GCA.003223975.1.Bacteria.Acidobacteriota_1
GCA.001767075.1.Bacteria.Acidobacteriota_MEKX01000077.1_21	GCA.001767075.1.Bacteria.Acidobacteriota_1
GCA.001767075.1.Bacteria.Acidobacteriota_MEKX01000115.1_36	GCA.001767075.1.Bacteria.Acidobacteriota_2
GCA.002898895.1.Bacteria.Armatimonadota_BEHS01000021.1_7	GCA.002898895.1.Bacteria.Armatimonadota_1
GCA.003140235.1.Bacteria.Acidobacteriota_PLJN01000035.1_45	GCA.003140235.1.Bacteria.Acidobacteriota_1
GCA.003152325.1.Bacteria.Acidobacteriota_PLZX01000227.1_4	GCA.003152325.1.Bacteria.Acidobacteriota_1
GCA.003224665.1.Bacteria.Acidobacteriota_QHZM01000242.1_3	GCA.003224665.1.Bacteria.Acidobacteriota_1
GCA.003131705.1.Bacteria.Acidobacteriota_PKUY01000268.1_16	GCA.003131705.1.Bacteria.Acidobacteriota_1
GCA.003222815.1.Bacteria.Acidobacteriota_QHXC01000167.1_3	GCA.003222815.1.Bacteria.Acidobacteriota_1
GCA.003167155.1.Bacteria.Eremiobacterota_PMTY01000054.1_23	GCA.003167155.1.Bacteria.Eremiobacterota_1
GCA.003244105.1.Bacteria.Eremiobacterota_QHBK01000004.1_122	GCA.003244105.1.Bacteria.Eremiobacterota_1
GCA.001805375.1.Bacteria.Omnitrophota_MHFY01000077.1_11	GCA.001805375.1.Bacteria.Omnitrophota_1
GCA.001804315.1.Bacteria.Omnitrophota_MHFT01000104.1_9	GCA.001804315.1.Bacteria.Omnitrophota_1
GCA.002796325.1.Bacteria.UBA10199_PCXA01000001.1_253	GCA.002796325.1.Bacteria.UBA10199_1
GCA.001798075.1.Bacteria.UBA10199_MGRG01000005.1_70	GCA.001798075.1.Bacteria.UBA10199_1
GCA.001798185.1.Bacteria.UBA10199_MGRM01000028.1_78	GCA.001798185.1.Bacteria.UBA10199_1
GCA.001798715.1.Bacteria.UBA10199_MGSF01000002.1_4	GCA.001798715.1.Bacteria.UBA10199_1
GCF.001535965.1.Bacteria.Bacteroidota_NZ_CZVI01000026.1_28	GCF.001535965.1.Bacteria.Bacteroidota_1
GCA.002011615.1.Bacteria.WOR.3_MTOH01000001.1_319	GCA.002011615.1.Bacteria.WOR.3_1
GCA.002898315.1.Bacteria.Calescibacterota_BEHV01000003.1_72	GCA.002898315.1.Bacteria.Calescibacterota_1
GCA.001769655.1.Bacteria.Bacteroidota_MEPC01000024.1_77	GCA.001769655.1.Bacteria.Bacteroidota_1
GCA.001769385.1.Bacteria.Bacteroidota_MEPB01000026.1_42	GCA.001769385.1.Bacteria.Bacteroidota_1
GCA.001780825.1.Bacteria.Gemmatimonadota_MFIX01000221.1_5	GCA.001780825.1.Bacteria.Gemmatimonadota_1
GCA.002699105.1.Bacteria.Bacteroidota_PABJ01000130.1_6	GCA.002699105.1.Bacteria.Bacteroidota_1
GCA.001464165.1.Bacteria.Cyanobacteria_LNEX01000269.1_9	GCA.001464165.1.Bacteria.Cyanobacteria_1
GCA.001567115.1.Bacteria.OLB16_LMZT01000178.1_32	GCA.001567115.1.Bacteria.OLB16_1
