tips	new_tips
GCA.002863065.1.Bacteria.Myxococcota_PKDL01000547.1_9	GCA.002863065.1.Bacteria.Myxococcota_1
GCF.000970205.1.Archaea.Halobacteriota_NZ_CP009512.1_494	GCF.000970205.1.Archaea.Halobacteriota_1
GCF.000194625.1.Archaea.Halobacteriota_NC_015320.1_293	GCF.000194625.1.Archaea.Halobacteriota_1
GCF.000011005.1.Archaea.Euryarchaeota_NC_013665.1_2653	GCF.000011005.1.Archaea.Euryarchaeota_1
GCA.003034855.1.Archaea.Halobacteriota_PZKD01000018.1_11	GCA.003034855.1.Archaea.Halobacteriota_1
GCA.003158275.1.Archaea.Halobacteriota_PMIN01000093.1_3	GCA.003158275.1.Archaea.Halobacteriota_1
GCA.002868855.1.Bacteria.Proteobacteria_PKUM01000214.1_6	GCA.002868855.1.Bacteria.Proteobacteria_1
GCA.002389045.1.Bacteria.Proteobacteria_DGNS01000005.1_376	GCA.002389045.1.Bacteria.Proteobacteria_1
GCA.001735895.1.Bacteria.Proteobacteria_DS021198.1_60	GCA.001735895.1.Bacteria.Proteobacteria_1
GCA.002722885.1.Bacteria.Proteobacteria_PBNE01000003.1_46	GCA.002722885.1.Bacteria.Proteobacteria_1
GCA.002686135.1.Bacteria.Proteobacteria_NZAO01000022.1_4	GCA.002686135.1.Bacteria.Proteobacteria_1
GCF.000266945.1.Bacteria.Desulfobacterota_NC_018025.1_4463	GCF.000266945.1.Bacteria.Desulfobacterota_1
GCA.002327985.1.Bacteria.Desulfobacterota_DCVM01000156.1_14	GCA.002327985.1.Bacteria.Desulfobacterota_1
GCA.001304105.1.Bacteria.Desulfobacterota_LJUR01000096.1_4	GCA.001304105.1.Bacteria.Desulfobacterota_1
GCA.002010915.1.Bacteria.Desulfobacterota_MTPG01000076.1_85	GCA.002010915.1.Bacteria.Desulfobacterota_1
GCA.002347365.1.Bacteria.Actinobacteriota_DDWT01000014.1_47	GCA.002347365.1.Bacteria.Actinobacteriota_1
GCA.000961655.1.Bacteria.Desulfobacterota_LADR01000008.1_218	GCA.000961655.1.Bacteria.Desulfobacterota_1
GCA.002375895.1.Bacteria.Firmicutes.E_DFND01000074.1_23	GCA.002375895.1.Bacteria.Firmicutes.E_1
GCA.000961765.1.Bacteria.Firmicutes.B_LADT01000040.1_52	GCA.000961765.1.Bacteria.Firmicutes.B_1
GCA.000961765.1.Bacteria.Firmicutes.B_LADT01000026.1_63	GCA.000961765.1.Bacteria.Firmicutes.B_2
GCA.002375925.1.Bacteria.Firmicutes.E_DFNE01000025.1_9	GCA.002375925.1.Bacteria.Firmicutes.E_1
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000071.1_79	GCF.002257705.1.Bacteria.Firmicutes.C_1
GCF.000430605.1.Bacteria.Firmicutes.C_WP_018701677.1	GCF.000430605.1.Bacteria.Firmicutes.C_1
GCF.000020005.1.Bacteria.Firmicutes.D_NC_010718.1_832	GCF.000020005.1.Bacteria.Firmicutes.D_1
GCF.900187885.1.Bacteria.Chloroflexota_NZ_FYEK01000027.1_242	GCF.900187885.1.Bacteria.Chloroflexota_1
GCA.001563325.1.Archaea.Asgardarchaeota_LRSK01000023.1_3	GCA.001563325.1.Archaea.Asgardarchaeota_1
GCF.000620765.1.Bacteria.Desulfobacterota.I_NZ_JIAK01000013.1_30	GCF.000620765.1.Bacteria.Desulfobacterota.I_1
GCF.002607855.1.Bacteria.Firmicutes.B_NZ_AWQQ01000047.1_96	GCF.002607855.1.Bacteria.Firmicutes.B_1
GCA.002366755.1.Bacteria.Chloroflexota_DFBV01000189.1_7	GCA.002366755.1.Bacteria.Chloroflexota_1
GCA.002291985.1.Bacteria.Firmicutes.E_DBBB01000060.1_2	GCA.002291985.1.Bacteria.Firmicutes.E_1
GCA.003535305.1.Bacteria.Bipolaricaulota_DOHL01000035.1_2	GCA.003535305.1.Bacteria.Bipolaricaulota_1
GCF.900187885.1.Bacteria.Chloroflexota_NZ_FYEK01000003.1_127	GCF.900187885.1.Bacteria.Chloroflexota_2
GCA.002348045.1.Bacteria.Chloroflexota_DDYO01000019.1_5	GCA.002348045.1.Bacteria.Chloroflexota_1
GCA.002348045.1.Bacteria.Chloroflexota_DDYO01000002.1_9	GCA.002348045.1.Bacteria.Chloroflexota_2
GCA.003130875.1.Bacteria.Chloroflexota_QEXY01000020.1_17	GCA.003130875.1.Bacteria.Chloroflexota_1
GCA.000987045.1.Bacteria.Firmicutes.B_LAKY01000072.1_98	GCA.000987045.1.Bacteria.Firmicutes.B_1
GCF.000526155.1.Bacteria.Desulfobacterota_NZ_JAFN01000001.1_3720	GCF.000526155.1.Bacteria.Desulfobacterota_1
